"ProteinId"	"FullName"	"Similariry"	"EC"	"CAZy_HMMER"	"CAZy_Hotpep"	"CAZy_DIAMOND"	"Signalp"
"KAF7791726.1"	"Calmodulin"	"Belongs to the calmodulin family"	NA	NA	NA	NA	NA
"KAF7791727.1"	NA	NA	NA	"AA3_2(18-248)"	"N"	"N"	"N"
"KAF7791728.1"	NA	NA	NA	"AA3(75-658)"	"N"	"AA3_2"	"N"
"KAF7791730.1"	"Eukaryotic translation initiation factor 3 subunit J"	"Belongs to the eIF-3 subunit J family"	NA	NA	NA	NA	NA
"KAF7791745.1"	NA	"Belongs to the DEAD box helicase family"	NA	NA	NA	NA	NA
"KAF7791759.1"	"Trehalase"	"Belongs to the glycosyl hydrolase 37 family"	"3.2.1.28"	"GH37(150-721)"	"GH37"	"GH37"	"N"
"KAF7791766.1"	NA	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family"	NA	"GT2_Chitin_synth_2(1235-1737)"	"GT2"	"GT2"	"N"
"KAF7791776.1"	"Vacuolar protein sorting-associated protein 41"	"Belongs to the VPS41 family"	NA	NA	NA	NA	NA
"KAF7791780.1"	"40S ribosomal protein S12"	"Belongs to the eukaryotic ribosomal protein eS12 family"	NA	NA	NA	NA	NA
"KAF7791810.1"	NA	NA	NA	"AA7(29-453)"	"N"	"N"	"N"
"KAF7791823.1"	NA	"Belongs to the thiolase-like superfamily. Thiolase family"	NA	NA	NA	NA	NA
"KAF7791826.1"	NA	"Belongs to the universal ribosomal protein uS3 family"	NA	NA	NA	NA	NA
"KAF7791828.1"	NA	NA	NA	"PL8(237-484)"	"N"	"PL8_4"	"N"
"KAF7791829.1"	NA	NA	NA	"PL8(2-244)"	"N"	"N"	"N"
"KAF7791841.1"	"Ribosomal protein L15"	"Belongs to the eukaryotic ribosomal protein eL15 family"	NA	NA	NA	NA	NA
"KAF7791845.1"	NA	"Belongs to the DEAD box helicase family"	NA	NA	NA	NA	NA
"KAF7791849.1"	NA	"Belongs to the actin family"	NA	NA	NA	NA	NA
"KAF7791850.1"	"40S ribosomal protein S24"	"Belongs to the eukaryotic ribosomal protein eS24 family"	NA	NA	NA	NA	NA
"KAF7791854.1"	"DNA polymerase"	"Belongs to the DNA polymerase type-B family"	"2.7.7.7"	NA	NA	NA	NA
"KAF7791865.1"	"Elongation of fatty acids protein"	"Belongs to the ELO family"	"2.3.1.199"	NA	NA	NA	NA
"KAF7791871.1"	NA	"Belongs to the ClpA/ClpB family"	NA	"N"	"N"	"GH6"	"N"
"KAF7791875.1"	NA	NA	NA	"AA7(135-326)"	"N"	"N"	"N"
"KAF7791876.1"	NA	NA	NA	"AA7(150-593)"	"N"	"N"	"N"
"KAF7791891.1"	"DNA ligase"	"Belongs to the ATP-dependent DNA ligase family"	"6.5.1.1"	NA	NA	NA	NA
"KAF7791893.1"	"Elongation factor 1-alpha"	"Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. EF-Tu/EF-1A subfamily"	NA	NA	NA	NA	NA
"KAF7791899.1"	"U6 snRNA-associated Sm-like protein LSm1"	"Belongs to the snRNP Sm proteins family"	NA	NA	NA	NA	NA
"KAF7791905.1"	"Aspartate aminotransferase"	NA	"2.6.1.1"	NA	NA	NA	NA
"KAF7791911.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7791914.1"	NA	NA	NA	"N"	"N"	"CE3"	"N"
"KAF7791918.1"	"Golgi apparatus membrane protein TVP23"	"Belongs to the TVP23 family"	NA	NA	NA	NA	NA
"KAF7791920.1"	"NADH-cytochrome b5 reductase"	"Belongs to the flavoprotein pyridine nucleotide cytochrome reductase family"	"1.6.2.2"	NA	NA	NA	NA
"KAF7791931.1"	NA	"Belongs to the cyclin family"	NA	NA	NA	NA	NA
"KAF7791936.1"	"Eukaryotic translation initiation factor 3 subunit K"	"Belongs to the eIF-3 subunit K family"	NA	NA	NA	NA	NA
"KAF7791939.1"	"RNA-dependent RNA polymerase"	"Belongs to the RdRP family"	"2.7.7.48"	NA	NA	NA	NA
"KAF7791940.1"	"Pescadillo homolog"	"Belongs to the pescadillo family"	NA	NA	NA	NA	NA
"KAF7791949.1"	NA	NA	NA	"PL38(243-493)"	"N"	"N"	"Y(1-22)"
"KAF7791956.1"	NA	"Belongs to the cyclin family"	NA	NA	NA	NA	NA
"KAF7791988.1"	"Peroxidase"	"Belongs to the peroxidase family"	"1.11.1.-"	"AA2(45-221)"	"AA2"	"AA2"	"Y(1-28)"
"KAF7791988.1"	"Peroxidase"	"Belongs to the peroxidase family"	"1.11.1.-"	"AA2(45-221)"	"AA2"	"AA2"	"Y(1-28)"
"KAF7791988.1"	"Peroxidase"	"Belongs to the peroxidase family. Ligninase subfamily"	"1.11.1.-"	"AA2(45-221)"	"AA2"	"AA2"	"Y(1-28)"
"KAF7791989.1"	"Peroxidase"	"Belongs to the peroxidase family"	"1.11.1.-"	"AA2(43-306)"	"AA2"	"AA2"	"Y(1-21)"
"KAF7791989.1"	"Peroxidase"	"Belongs to the peroxidase family. Ligninase subfamily"	"1.11.1.-"	"AA2(43-306)"	"AA2"	"AA2"	"Y(1-21)"
"KAF7791989.1"	"Peroxidase"	"Belongs to the peroxidase family"	"1.11.1.-"	"AA2(43-306)"	"AA2"	"AA2"	"Y(1-21)"
"KAF7791990.1"	NA	"Belongs to the peptidase M48 family"	NA	NA	NA	NA	NA
"KAF7791992.1"	NA	"Belongs to the SMC family"	NA	NA	NA	NA	NA
"KAF7791993.1"	NA	NA	NA	"GH105(137-337)"	"N"	"N"	"Y(1-22)"
"KAF7791999.1"	"NADPH:adrenodoxin oxidoreductase, mitochondrial"	"Belongs to the ferredoxin--NADP reductase type 1 family"	"1.18.1.6"	NA	NA	NA	NA
"KAF7792005.1"	NA	"Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family"	NA	NA	NA	NA	NA
"KAF7792010.1"	NA	"Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family"	NA	NA	NA	NA	NA
"KAF7792015.1"	"GPN-loop GTPase"	"Belongs to the GPN-loop GTPase family"	"3.6.5.-"	NA	NA	NA	NA
"KAF7792027.1"	NA	"Belongs to the glycosyl hydrolase 1 family"	"3.2.1.-"	"GH1(97-315)"	"N"	"GH1"	"N"
"KAF7792028.1"	NA	"Belongs to the glycosyl hydrolase 1 family"	NA	"N"	"GH1"	"N"	"N"
"KAF7792031.1"	"Acetyl-coenzyme A synthetase"	"Belongs to the ATP-dependent AMP-binding enzyme family"	"6.2.1.1"	NA	NA	NA	NA
"KAF7792033.1"	"Acetyl-coenzyme A synthetase"	"Belongs to the ATP-dependent AMP-binding enzyme family"	"6.2.1.1"	NA	NA	NA	NA
"KAF7792035.1"	"Probable cytosolic iron-sulfur protein assembly protein 1"	"Belongs to the WD repeat CIA1 family"	NA	NA	NA	NA	NA
"KAF7792037.1"	NA	NA	NA	"GT1(67-486)"	"N"	"N"	"N"
"KAF7792043.1"	NA	"Belongs to the glycosyl hydrolase 18 family"	"3.2.1.-"	"GH18(87-444)"	"GH18"	"GH18"	"Y(1-20)"
"KAF7792050.1"	"Phosphoinositide phospholipase C"	NA	"3.1.4.11"	NA	NA	NA	NA
"KAF7792051.1"	NA	"Belongs to the glycosyl hydrolase 18 family"	"3.2.1.-"	"GH18(34-405)"	"N"	"GH18"	"Y(1-19)"
"KAF7792052.1"	"MICOS complex subunit MIC10"	"Belongs to the MICOS complex subunit Mic10 family"	NA	NA	NA	NA	NA
"KAF7792064.1"	NA	"Belongs to the cyclin family"	NA	NA	NA	NA	NA
"KAF7792066.1"	NA	NA	NA	"GH3(136-340)"	"GH3"	"GH3"	"Y(1-23)"
"KAF7792073.1"	"CTP synthase"	"Belongs to the CTP synthase family"	"6.3.4.2"	NA	NA	NA	NA
"KAF7792077.1"	"Exocyst complex component SEC5"	"Belongs to the SEC5 family"	NA	NA	NA	NA	NA
"KAF7792078.1"	"Exocyst complex component SEC5"	"Belongs to the SEC5 family"	NA	NA	NA	NA	NA
"KAF7792079.1"	"Ceramide very long chain fatty acid hydroxylase"	"Belongs to the sterol desaturase family. SCS7 subfamily"	"1.-.-.-"	NA	NA	NA	NA
"KAF7792083.1"	NA	"Belongs to the zinc-containing alcohol dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7792089.1"	"Adenine DNA glycosylase"	"Belongs to the Nth/MutY family"	"3.2.2.31"	NA	NA	NA	NA
"KAF7792095.1"	"Phosphotransferase"	"Belongs to the hexokinase family"	"2.7.1.-"	NA	NA	NA	NA
"KAF7792096.1"	"ATP synthase subunit d, mitochondrial"	"Belongs to the ATPase d subunit family"	NA	NA	NA	NA	NA
"KAF7792098.1"	NA	"Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. TrmE GTPase family"	NA	NA	NA	NA	NA
"KAF7792102.1"	"Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit OST2"	"Belongs to the DAD/OST2 family"	NA	NA	NA	NA	NA
"KAF7792116.1"	"Cytoplasmic tRNA 2-thiolation protein 1"	"Belongs to the TtcA family. CTU1/NCS6/ATPBD3 subfamily"	"2.7.7.-"	NA	NA	NA	NA
"KAF7792125.1"	"KRR1 small subunit processome component"	"Belongs to the KRR1 family"	NA	NA	NA	NA	NA
"KAF7792128.1"	"Proteasome subunit alpha type"	"Belongs to the peptidase T1A family"	NA	NA	NA	NA	NA
"KAF7792128.1"	"Proteasome subunit alpha type"	"Belongs to the peptidase T1A family"	NA	NA	NA	NA	NA
"KAF7792131.1"	NA	"Belongs to the aldehyde dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7792132.1"	"Proteasome subunit alpha type"	"Belongs to the peptidase T1A family"	NA	NA	NA	NA	NA
"KAF7792132.1"	"Proteasome subunit alpha type"	"Belongs to the peptidase T1A family"	NA	NA	NA	NA	NA
"KAF7792156.1"	NA	"Belongs to the AAA ATPase family"	NA	NA	NA	NA	NA
"KAF7792176.1"	"DNA replication ATP-dependent helicase/nuclease"	"Belongs to the DNA2/NAM7 helicase family"	"3.1.-.-"	NA	NA	NA	NA
"KAF7792176.1"	"DNA replication ATP-dependent helicase/nuclease"	"Belongs to the DNA2/NAM7 helicase family"	"3.6.4.12"	NA	NA	NA	NA
"KAF7792179.1"	"NEDD8-activating enzyme E1 regulatory subunit"	"Belongs to the ubiquitin-activating E1 family. ULA1 subfamily"	NA	NA	NA	NA	NA
"KAF7792187.1"	NA	"Belongs to the argonaute family"	NA	NA	NA	NA	NA
"KAF7792196.1"	NA	NA	NA	"AA5(114-630)"	"AA5"	"AA5_1"	"N"
"KAF7792203.1"	NA	"Belongs to the enoyl-CoA hydratase/isomerase family"	NA	NA	NA	NA	NA
"KAF7792205.1"	NA	"Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family"	NA	NA	NA	NA	NA
"KAF7792218.1"	"Electron transfer flavoprotein-ubiquinone oxidoreductase"	NA	"1.5.5.1"	NA	NA	NA	NA
"KAF7792219.1"	"Electron transfer flavoprotein-ubiquinone oxidoreductase"	NA	"1.5.5.1"	NA	NA	NA	NA
"KAF7792233.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7792236.1"	"Proteasome subunit beta"	"Belongs to the peptidase T1B family"	"3.4.25.1"	NA	NA	NA	NA
"KAF7792243.1"	NA	"Belongs to the ubiquitin-conjugating enzyme family"	"2.3.2.-"	NA	NA	NA	NA
"KAF7792263.1"	NA	"Belongs to the peptidase A1 family"	NA	NA	NA	NA	NA
"KAF7792266.1"	"Glycylpeptide N-tetradecanoyltransferase"	"Belongs to the NMT family"	"2.3.1.97"	NA	NA	NA	NA
"KAF7792267.1"	NA	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Myosin family"	NA	NA	NA	NA	NA
"KAF7792270.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7792273.1"	NA	"Belongs to the peptidase A1 family"	NA	NA	NA	NA	NA
"KAF7792277.1"	"Eukaryotic translation initiation factor 3 subunit C"	"Belongs to the eIF-3 subunit C family"	NA	NA	NA	NA	NA
"KAF7792281.1"	"Adenylyl-sulfate kinase"	"Belongs to the APS kinase family"	"2.7.1.25"	NA	NA	NA	NA
"KAF7792283.1"	NA	NA	NA	"AA2(45-244)"	"AA2"	"AA2"	"N"
"KAF7792302.1"	"Ribosome biogenesis protein NSA2 homolog"	"Belongs to the eukaryotic ribosomal protein eS8 family. Ribosome biogenesis protein NSA2 subfamily"	NA	NA	NA	NA	NA
"KAF7792310.1"	"Trafficking protein particle complex subunit"	"Belongs to the TRAPP small subunits family"	NA	NA	NA	NA	NA
"KAF7792319.1"	"ATP-dependent RNA helicase DBP10"	"Belongs to the DEAD box helicase family. DDX54/DBP10 subfamily"	"3.6.4.13"	NA	NA	NA	NA
"KAF7792327.1"	"Transmembrane 9 superfamily member"	"Belongs to the nonaspanin (TM9SF) (TC 9.A.2) family"	NA	NA	NA	NA	NA
"KAF7792328.1"	"Tyrosine--tRNA ligase"	"Belongs to the class-I aminoacyl-tRNA synthetase family"	"6.1.1.1"	NA	NA	NA	NA
"KAF7792328.1"	"Tyrosine--tRNA ligase"	"Belongs to the class-I aminoacyl-tRNA synthetase family"	"6.1.1.1"	NA	NA	NA	NA
"KAF7792336.1"	"Histone acetyltransferase"	"Belongs to the MYST (SAS/MOZ) family"	"2.3.1.48"	"N"	"N"	"GH125"	"N"
"KAF7792347.1"	NA	"Belongs to the universal ribosomal protein uS9 family"	NA	NA	NA	NA	NA
"KAF7792349.1"	"E3 ubiquitin protein ligase"	"Belongs to the BRE1 family"	"2.3.2.27"	NA	NA	NA	NA
"KAF7792352.1"	NA	NA	"2.1.1.-"	NA	NA	NA	NA
"KAF7792371.1"	"Peroxidase"	"Belongs to the peroxidase family"	"1.11.1.-"	"AA2(45-304)"	"AA2"	"AA2"	"Y(1-22)"
"KAF7792371.1"	"Peroxidase"	"Belongs to the peroxidase family"	"1.11.1.-"	"AA2(45-304)"	"AA2"	"AA2"	"Y(1-22)"
"KAF7792371.1"	"Peroxidase"	"Belongs to the peroxidase family. Ligninase subfamily"	"1.11.1.-"	"AA2(45-304)"	"AA2"	"AA2"	"Y(1-22)"
"KAF7792375.1"	"Cysteine proteinase 1, mitochondrial"	"Belongs to the peptidase C1 family"	"3.4.22.40"	NA	NA	NA	NA
"KAF7792385.1"	"Ferrochelatase"	"Belongs to the ferrochelatase family"	"4.99.1.1"	NA	NA	NA	NA
"KAF7792385.1"	"Ferrochelatase"	"Belongs to the ferrochelatase family"	"4.99.1.1"	NA	NA	NA	NA
"KAF7792388.1"	NA	"Belongs to the ferrochelatase family"	NA	NA	NA	NA	NA
"KAF7792392.1"	NA	NA	NA	"PL14_5(95-305)"	"PL14"	"N"	"Y(1-22)"
"KAF7792396.1"	"Peptide hydrolase"	"Belongs to the peptidase M28 family"	"3.4.-.-"	NA	NA	NA	NA
"KAF7792400.1"	NA	"Belongs to the glycosyl hydrolase 18 family"	"3.2.1.-"	"GH18(14-332)"	"GH18"	"GH18"	"N"
"KAF7792406.1"	"DNA ligase"	"Belongs to the ATP-dependent DNA ligase family"	"6.5.1.1"	NA	NA	NA	NA
"KAF7792410.1"	NA	"Belongs to the peptidase A1 family"	NA	NA	NA	NA	NA
"KAF7792419.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7792423.1"	NA	"Belongs to the MIP/aquaporin (TC 1.A.8) family"	NA	NA	NA	NA	NA
"KAF7792467.1"	"Kinesin-like protein"	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family"	NA	NA	NA	NA	NA
"KAF7792467.1"	"Kinesin-like protein"	"Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family"	NA	NA	NA	NA	NA
"KAF7792471.1"	NA	NA	NA	"GT59(29-312)"	"GT59"	"N"	"N"
"KAF7792474.1"	"Pre-mRNA-processing factor 19"	"Belongs to the WD repeat PRP19 family"	"2.3.2.27"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792477.1"	"Catalase"	"Belongs to the catalase family"	"1.11.1.6"	NA	NA	NA	NA
"KAF7792479.1"	"Sterol 3-beta-glucosyltransferase"	"Belongs to the glycosyltransferase 28 family"	"2.4.1.173"	"GT1(836-1256)"	"GT1"	"GT1"	"N"
"KAF7792492.1"	"Carbonic anhydrase"	"Belongs to the beta-class carbonic anhydrase family"	"4.2.1.1"	NA	NA	NA	NA
"KAF7792495.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7792498.1"	NA	"Belongs to the MCM family"	NA	NA	NA	NA	NA
"KAF7792507.1"	NA	NA	NA	"N"	"N"	"GH146"	"N"
"KAF7792508.1"	NA	"Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A.1.1) family"	NA	NA	NA	NA	NA
"KAF7792523.1"	NA	"Belongs to the peptidase T1A family"	NA	NA	NA	NA	NA
"KAF7792531.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7792532.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7792533.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7792535.1"	"UDP-glucose 4-epimerase"	"Belongs to the NAD(P)-dependent epimerase/dehydratase family"	"5.1.3.2"	NA	NA	NA	NA
"KAF7792545.1"	"AP-3 complex subunit delta"	"Belongs to the adaptor complexes large subunit family"	NA	NA	NA	NA	NA
"KAF7792574.1"	NA	NA	NA	"N"	"GT1"	"N"	"N"
"KAF7792575.1"	NA	"Belongs to the metallo-dependent hydrolases superfamily. Adenosine and AMP deaminases family"	NA	NA	NA	NA	NA
"KAF7792592.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7792599.1"	"Vacuolar fusion protein MON1"	"Belongs to the MON1/SAND family"	NA	NA	NA	NA	NA
"KAF7792611.1"	NA	"Belongs to the cullin family"	NA	NA	NA	NA	NA
"KAF7792611.1"	NA	"Belongs to the cullin family"	NA	NA	NA	NA	NA
"KAF7792615.1"	NA	"Belongs to the protein kinase superfamily"	NA	NA	NA	NA	NA
"KAF7792616.1"	NA	"Belongs to the peptidase M3 family"	NA	NA	NA	NA	NA
"KAF7792617.1"	NA	"Belongs to the peptidase M3 family"	NA	NA	NA	NA	NA
"KAF7792621.1"	NA	"Belongs to the peptidase M3 family"	NA	NA	NA	NA	NA
"KAF7792642.1"	"Pyridoxal phosphate homeostasis protein"	"Belongs to the pyridoxal phosphate-binding protein YggS/PROSC family"	NA	NA	NA	NA	NA
"KAF7792642.1"	"Pyridoxal phosphate homeostasis protein"	"Belongs to the pyridoxal phosphate-binding protein YggS/PROSC family"	NA	NA	NA	NA	NA
"KAF7792647.1"	"Triosephosphate isomerase"	"Belongs to the triosephosphate isomerase family"	"5.3.1.1"	NA	NA	NA	NA
"KAF7792655.1"	NA	NA	NA	"N"	"N"	"GH18"	"N"
"KAF7792662.1"	NA	"Belongs to the universal ribosomal protein uS11 family"	NA	NA	NA	NA	NA
"KAF7792682.1"	"Ubiquitin-activating enzyme E1-like"	"Belongs to the ubiquitin-activating E1 family"	NA	NA	NA	NA	NA
"KAF7792686.1"	NA	NA	NA	"GH95(1-810)"	"GH95"	"GH95"	"N"
"KAF7792687.1"	NA	NA	NA	"GH16_4(552-891)"	"N"	"N"	"N"
"KAF7792688.1"	NA	NA	NA	"GT2_Glyco_trans_2_3(667-885)"	"GT0"	"GT0"	"N"
"KAF7792696.1"	NA	"Belongs to the mitochondrial carrier (TC 2.A.29) family"	NA	NA	NA	NA	NA
"KAF7792703.1"	"Transaldolase"	NA	"2.2.1.2"	NA	NA	NA	NA
"KAF7792707.1"	NA	NA	NA	"AA3(15-518)"	"N"	"N"	"N"
"KAF7792711.1"	"Proteasome subunit beta"	"Belongs to the peptidase T1B family"	"3.4.25.1"	NA	NA	NA	NA
"KAF7792719.1"	"Ubiquitin-like protein ATG12"	"Belongs to the ATG12 family"	NA	NA	NA	NA	NA
"KAF7792722.1"	"Clathrin light chain"	"Belongs to the clathrin light chain family"	NA	NA	NA	NA	NA
"KAF7792735.1"	NA	NA	NA	"GT8(3-143)"	"N"	"N"	"N"
"KAF7792736.1"	NA	NA	NA	"GT8(41-187)"	"N"	"N"	"Y(1-31)"
"KAF7792737.1"	NA	NA	NA	"GT8(85-304)"	"N"	"N"	"N"
"KAF7792744.1"	NA	"Belongs to the FMN-dependent alpha-hydroxy acid dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7792747.1"	NA	"Belongs to the cytochrome b5 family"	NA	NA	NA	NA	NA
"KAF7792747.1"	NA	"Belongs to the FMN-dependent alpha-hydroxy acid dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7792750.1"	"Leucine carboxyl methyltransferase 1"	"Belongs to the methyltransferase superfamily. LCMT family"	"2.1.1.233"	NA	NA	NA	NA
"KAF7792754.1"	"Mitochondrial import inner membrane translocase subunit TIM22"	"Belongs to the Tim17/Tim22/Tim23 family"	NA	NA	NA	NA	NA
"KAF7792777.1"	NA	"Belongs to the cytochrome P450 family"	NA	NA	NA	NA	NA
"KAF7792787.1"	"Eukaryotic translation initiation factor 3 subunit L"	"Belongs to the eIF-3 subunit L family"	NA	NA	NA	NA	NA
"KAF7792791.1"	NA	NA	NA	"N"	"N"	"GH23"	"N"
"KAF7792802.1"	"Ribosome biogenesis protein ERB1"	"Belongs to the WD repeat BOP1/ERB1 family"	NA	"N"	"N"	"CE8"	"N"
"KAF7792805.1"	NA	"Belongs to the MT-A70-like family"	NA	NA	NA	NA	NA
"KAF7792808.1"	NA	NA	NA	"GT76(27-417)"	"N"	"N"	"N"
"KAF7792809.1"	NA	"Belongs to the aldehyde dehydrogenase family"	NA	NA	NA	NA	NA
"KAF7792815.1"	NA	"Belongs to the GST superfamily"	NA	NA	NA	NA	NA
"KAF7792827.1"	NA	"Belongs to the 14-3-3 family"	NA	NA	NA	NA	NA
"KAF7792834.1"	"Mitochondrial distribution and morphology protein 34"	"Belongs to the MDM34 family"	NA	NA	NA	NA	NA
"KAF7792841.1"	"Vesicular-fusion protein SEC18"	"Belongs to the AAA ATPase family"	"3.6.4.6"	NA	NA	NA	NA
"KAF7792843.1"	"Eukaryotic translation initiation factor 3 subunit M"	"Belongs to the eIF-3 subunit M family"	NA	NA	NA	NA	NA
"KAF7792848.1"	"Ribosome biogenesis regulatory protein"	"Belongs to the RRS1 family"	NA	NA	NA	NA	NA
"KAF7792865.1"	NA	NA	NA	"GH3(34-221)"	"GH3"	"GH3"	"N"
"KAF7792867.1"	"Eukaryotic translation initiation factor 3 subunit F"	"Belongs to the eIF-3 subunit F family"	NA	NA	NA	NA	NA
"KAF7792871.1"	NA	"Belongs to the MCM family"	NA	NA	NA	NA	NA
"KAF7792875.1"	"DNA replication complex GINS protein PSF2"	"Belongs to the GINS2/PSF2 family"	NA	NA	NA	NA	NA
"KAF7792877.1"	"Actin-related protein 2/3 complex subunit 3"	"Belongs to the ARPC3 family"	NA	NA	NA	NA	NA
"KAF7792878.1"	"20S-pre-rRNA D-site endonuclease NOB1"	"Belongs to the NOB1 family"	NA	NA	NA	NA	NA
"KAF7792886.1"	"Peroxin-14"	"Belongs to the peroxin-14 family"	NA	NA	NA	NA	NA
"KAF7792890.1"	NA	"Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family"	"2.1.1.-"	NA	NA	NA	NA
"KAF7792891.1"	NA	"Belongs to the class I-like SAM-binding methyltransferase superfamily. Cation-independent O-methyltransferase family"	"2.1.1.-"	NA	NA	NA	NA
"KAF7792897.1"	"3-isopropylmalate dehydrogenase"	"Belongs to the isocitrate and isopropylmalate dehydrogenases family"	"1.1.1.85"	NA	NA	NA	NA
"KAF7792898.1"	"Hydrophobin"	"Belongs to the fungal hydrophobin family"	NA	NA	NA	NA	NA
"KAF7792901.1"	NA	"Belongs to the DEAD box helicase family"	NA	NA	NA	NA	NA
"KAF7792903.1"	"Threonylcarbamoyl-AMP synthase"	"Belongs to the SUA5 family"	"2.7.7.87"	NA	NA	NA	NA
"KAF7792921.1"	"Orotidine 5'-phosphate decarboxylase"	"Belongs to the OMP decarboxylase family"	"4.1.1.23"	NA	NA	NA	NA
"KAF7792952.1"	NA	NA	NA	"CE16(21-283)+CE16(325-566)"	"N"	"N"	"N"
"KAF7792957.1"	"Transcription elongation factor Spt6"	"Belongs to the SPT6 family"	NA	NA	NA	NA	NA
"KAF7792960.1"	"Polyadenylate-binding protein"	"Belongs to the polyadenylate-binding protein type-1 family"	NA	NA	NA	NA	NA
"KAF7792965.1"	"GTP:AMP phosphotransferase, mitochondrial"	"Belongs to the adenylate kinase family. AK3 subfamily"	"2.7.4.10"	NA	NA	NA	NA
"KAF7792965.1"	"GTP:AMP phosphotransferase, mitochondrial"	"Belongs to the adenylate kinase family"	"2.7.4.10"	NA	NA	NA	NA
"KAF7792967.1"	"Chromosome segregation in meiosis protein"	"Belongs to the CSM3 family"	NA	NA	NA	NA	NA
"KAF7792973.1"	NA	"Belongs to the AAA ATPase family"	NA	NA	NA	NA	NA
"KAF7792977.1"	"GTP-binding nuclear protein"	"Belongs to the small GTPase superfamily. Ran family"	NA	NA	NA	NA	NA
"KAF7792984.1"	NA	"Belongs to the AAA ATPase family"	NA	NA	NA	NA	NA
"KAF7792988.1"	NA	NA	NA	"GT48(744-1512)"	"GT48"	"GT48"	"N"
"KAF7792990.1"	"Protein phosphatase"	"Belongs to the PP2C family"	"3.1.3.16"	NA	NA	NA	NA
"KAF7792994.1"	"Dipeptidyl peptidase 3"	"Belongs to the peptidase M49 family"	"3.4.14.4"	NA	NA	NA	NA
"KAF7793001.1"	NA	"Belongs to the short-chain dehydrogenases/reductases (SDR) family"	NA	NA	NA	NA	NA
"KAF7793014.1"	"Methionine aminopeptidase"	"Belongs to the peptidase M24A family"	"3.4.11.18"	NA	NA	NA	NA
"KAF7793014.1"	"Methionine aminopeptidase"	"Belongs to the peptidase M24A family. Methionine aminopeptidase type 1 subfamily"	"3.4.11.18"	NA	NA	NA	NA
"KAF7793026.1"	"Kynureninase"	"Belongs to the kynureninase family"	"3.7.1.3"	NA	NA	NA	NA
"KAF7793026.1"	"Kynureninase"	"Belongs to the kynureninase family"	"3.7.1.3"	NA	NA	NA	NA
"KAF7793026.1"	"Kynureninase"	"Belongs to the kynureninase family"	"3.7.1.3"	NA	NA	NA	NA
"KAF7793026.1"	"Kynureninase"	"Belongs to the kynureninase family"	"3.7.1.3"	NA	NA	NA	NA
"KAF7793026.1"	"Kynureninase"	"Belongs to the kynureninase family"	"3.7.1.3"	NA	NA	NA	NA
"KAF7793026.1"	"Kynureninase"	"Belongs to the kynureninase family"	"3.7.1.3"	NA	NA	NA	NA
